Becca,Ms. Bumbleflower,2.4
Becca,"Aminatou, Veil Piercer",3.7
Becca,"Killian, Decisive Mentor",2.3
Becca,"Eshki, Temur's Roar (Manny's)",2.5
Manny,"Galadriel, Light of Valinor",3.8
Manny,"Atraxa, Praetor's Voice",3.9
Manny,"Athreos, God of Passage",3.4
Manny,"Fynn, the Fangbearer",2.6
Manny,"Frodo, Adventurous Hobbit/Sam, Loyal Attendant",3.5
Manny,"Zada, Hedron Grinder",2.7
Manny,Ureni of the Unwritten,2.6
Manny,"Aragorn, the Uniter",3.9
Manny,"Kruphix, God of Horizons",2.3
Manny,Avatar Aang,3.5
Mateo,High Perfect Morcant,2.4
Mateo,"Leonardo, the Balance/Michelangelo, the Heart",2.6
Mateo,Zurgo Stormrender,3.6
Mateo,Fire Lord Azula,3.6
Mateo,"Quintorius, History Chaser",2.9
Mateo,"Auntie Ool, Cursewretch",3.9
Mateo,"Killian, Decisive Mentor (Becca's)",2.8
Mateo,"Noctis, Heir Apparent",2.6
Mateo,"Yuna, Grand Summoner",3.6
Mateo,Ureni of the Unwritten,3.9
Mateo,"Captain America, Team Leader",3.7
Mateo,"Teval, the Balanced Scale",4.0
Mateo,"Kratos, God of War",2.9
Mateo,"Chatterfang, Squirrel General",3.9
Ryan,"Eowyn, Shieldmaiden",3.5
Ryan,"Ashling, The Limitless",3.4
Ryan,"Cloud, Ex-SOLDIER",3.7
Ryan,"Kratos, Stoic Father/Atreus, Impulsive Son",2.6
Ryan,Fire Lord Zuko,3.8
Ryan,"Witherbloom, The Balancer",2.6
Ryan,"Preston Garvey, Minuteman",3.6
Ryan,"Giada, Font of Hope",2.6
Ryan,"Rootha, Mastering the Moment",3.6
Ryan,"Arna Kennerud, Skycaptain",2.9
Ryan,Namor the Sub-Mariner,3.9
Kristy,Edgar Markov,3.6
Kristy,"Auntie Ool, Cursewretch",3.3
Kristy,"Dina, Essence Brewer",3.2
Kristy,"Niv-Mizzet, Parun",3.9
Kristy,"Doctor Doom, King of Latveria",2.4
Joseph,"Valgavoth, Harrower of Souls",3.6
Joseph,"Zimone, Infinite Analyst",3.8
Joseph,Super Shredder,2.7
Joseph,"Hei Bai, Forest Guardian",3.3
Joseph,"Ultima, Origin of Oblivion",3.7
Red,"Cloud, Ex-SOLDIER",2.7
Red,"Squall, SeeD Mercenary",3.4
Red,"Sanar, Innovative First-Year",1.0
Michelle,The Wise Mothman,2.5
Michelle,"Szarel, Genesis Shepard",2.2
Michelle,"Lucy MacLean, Positively Armed",2.4
